Campaign Name,Channel,Date,Spend,Clicks,Impressions,Conversions,Revenue,CTR,CPC,CPA,ROAS
Search Max,Google Ads,2025-05-01,143.64,383,9771,53,1308.07,0.03919762562685498,0.3750391644908616,2.7101886792452827,9.106585909217488
Brand Awareness,Google Ads,2025-05-01,89.0,128,2876,17,701.12,0.04450625869262865,0.6953125,5.235294117647059,7.877752808988764
Retargeting Boost,Google Ads,2025-05-01,55.15,164,3794,13,330.91,0.04322614654717976,0.336280487804878,4.242307692307692,6.000181323662739
Engagement Surge,Meta Ads,2025-05-01,95.85,125,4041,14,402.32,0.030932937391734718,0.7667999999999999,6.846428571428571,4.197391757955138
Conversion Magnet,Meta Ads,2025-05-01,202.96,156,7221,16,538.91,0.02160365600332364,1.301025641025641,12.685,2.6552522664564444
Lookalike Expansion,Meta Ads,2025-05-01,246.29,285,9355,39,834.35,0.030464991982896848,0.8641754385964912,6.315128205128205,3.387673068334078
Video Funnel,YouTube,2025-05-01,201.89,93,7433,17,832.47,0.012511771828333108,2.1708602150537635,11.875882352941176,4.123384021001536
Pre-Roll Push,YouTube,2025-05-01,252.1,147,10634,22,730.5,0.013823584728230205,1.7149659863945579,11.459090909090909,2.8976596588655297
Channel Lift,YouTube,2025-05-01,80.51,45,4009,8,222.11,0.011224744325268148,1.7891111111111113,10.06375,2.7587877282325177
Trend Jumps,TikTok,2025-05-01,215.63,282,9157,37,945.19,0.03079611226384187,0.7646453900709219,5.827837837837838,4.383388211287855
Creator Collab,TikTok,2025-05-01,292.4,848,17837,156,5918.17,0.047541626955205474,0.34481132075471693,1.8743589743589741,20.23997948016416
Viral Loop,TikTok,2025-05-01,280.47,167,9406,9,267.84,0.017754624707633424,1.6794610778443115,31.163333333333338,0.9549684458230825
Lead Magnet,LinkedIn,2025-05-01,147.17,259,6012,26,739.13,0.043080505655355955,0.5682239382239381,5.660384615384615,5.022287150913909
B2B Outreach,LinkedIn,2025-05-01,185.67,278,6616,17,843.31,0.04201934703748488,0.6678776978417266,10.921764705882353,4.541983088274896
Webinar Promo,LinkedIn,2025-05-01,243.06,94,9223,16,659.29,0.010191911525533991,2.585744680851064,15.19125,2.712457829342549
Search Max,Google Ads,2025-05-02,232.25,183,14132,18,422.57,0.012949334842909709,1.2691256830601092,12.902777777777779,1.8194617868675995
Brand Awareness,Google Ads,2025-05-02,265.78,339,14599,20,586.59,0.023220768545790808,0.7840117994100294,13.288999999999998,2.2070509443900974
Retargeting Boost,Google Ads,2025-05-02,131.3,275,7770,50,1708.32,0.035392535392535396,0.4774545454545455,2.6260000000000003,13.01081492764661
Engagement Surge,Meta Ads,2025-05-02,79.9,189,4676,25,1078.23,0.040419161676646706,0.42275132275132277,3.196,13.494743429286608
Conversion Magnet,Meta Ads,2025-05-02,173.45,239,8830,12,278.84,0.027066817667044166,0.7257322175732217,14.454166666666666,1.607610262323436
Lookalike Expansion,Meta Ads,2025-05-02,57.86,72,3208,9,425.04,0.022443890274314215,0.803611111111111,6.428888888888888,7.346007604562738
Video Funnel,YouTube,2025-05-02,112.32,209,5213,17,379.26,0.040092077498561286,0.5374162679425837,6.607058823529411,3.3766025641025643
Pre-Roll Push,YouTube,2025-05-02,122.44,210,4462,35,1365.07,0.047064096817570594,0.583047619047619,3.498285714285714,11.14888925187847
Channel Lift,YouTube,2025-05-02,267.87,290,16647,53,1917.55,0.01742055625638253,0.9236896551724139,5.054150943396227,7.15850972486654
Trend Jumps,TikTok,2025-05-02,251.86,376,16583,25,670.95,0.022673822589398783,0.6698404255319149,10.0744,2.6639799888827125
Creator Collab,TikTok,2025-05-02,156.78,436,9833,22,777.09,0.0443404861181735,0.35958715596330276,7.126363636363636,4.956563337160352
Viral Loop,TikTok,2025-05-02,154.35,88,6001,8,386.3,0.014664222629561739,1.7539772727272727,19.29375,2.502753482345319
Lead Magnet,LinkedIn,2025-05-02,130.8,253,6638,26,1277.99,0.03811388972582103,0.51699604743083,5.0307692307692315,9.770565749235473
B2B Outreach,LinkedIn,2025-05-02,290.61,348,11645,33,941.99,0.029884070416487763,0.8350862068965518,8.806363636363637,3.2414232132411134
Webinar Promo,LinkedIn,2025-05-02,59.22,96,3220,5,141.8,0.02981366459627329,0.616875,11.844,2.3944613306315436
Search Max,Google Ads,2025-05-03,277.07,173,10967,21,1040.96,0.015774596516823197,1.6015606936416185,13.193809523809524,3.7570289096618183
Brand Awareness,Google Ads,2025-05-03,110.51,254,6286,21,878.78,0.04040725421571747,0.4350787401574803,5.262380952380953,7.952040539317708
Retargeting Boost,Google Ads,2025-05-03,141.95,277,7848,36,817.51,0.035295616717635064,0.5124548736462093,3.943055555555555,5.7591405424445234
Engagement Surge,Meta Ads,2025-05-03,258.83,193,11086,10,377.27,0.017409345119971133,1.3410880829015543,25.883,1.4575976509678168
Conversion Magnet,Meta Ads,2025-05-03,219.39,205,6727,17,669.04,0.030474208413854616,1.0701951219512194,12.905294117647058,3.0495464697570536
Lookalike Expansion,Meta Ads,2025-05-03,93.59,137,5394,26,627.27,0.02539859102706711,0.6831386861313868,3.599615384615385,6.702318623784592
Video Funnel,YouTube,2025-05-03,135.27,219,4672,39,1081.79,0.046875,0.6176712328767123,3.468461538461539,7.997264729799659
Pre-Roll Push,YouTube,2025-05-03,215.0,434,13478,56,1526.31,0.03220062323786912,0.49539170506912444,3.8392857142857144,7.099116279069767
Channel Lift,YouTube,2025-05-03,73.28,222,4828,32,965.47,0.045981772990886495,0.3300900900900901,2.29,13.175081877729259
Trend Jumps,TikTok,2025-05-03,137.3,371,8105,67,2907.55,0.04577421344848859,0.37008086253369277,2.049253731343284,21.176620538965768
Creator Collab,TikTok,2025-05-03,210.51,115,7023,21,802.05,0.016374768617399973,1.8305217391304347,10.024285714285714,3.8100327775402594
